Aashar,Shayer
"hisāb-e-lutf-e-harīfāñ kiyā hai jab to khulā
ki dostoñ ne ziyāda ḳhayāl rakkhā hai",ahmad-faraz
"bharī bahār meñ ik shāḳh par khilā hai gulāb
ki jaise tū ne hathelī pe gaal rakkhā hai",ahmad-faraz
"'farāz' ishq kī duniyā to ḳhūb-sūrat thī
ye kis ne fitna-e-hijr-o-visāl rakkhā hai",ahmad-faraz
"aisā hai ki sab ḳhvāb musalsal nahīñ hote
jo aaj to hote haiñ magar kal nahīñ hote",ahmad-faraz
"andar kī fazāoñ ke karishme bhī ajab haiñ
meñh TuuT ke barse bhī to bādal nahīñ hote",ahmad-faraz
"kuchh mushkileñ aisī haiñ ki āsāñ nahīñ hotīñ
kuchh aise muamme haiñ kabhī hal nahīñ hote",ahmad-faraz
"shā.istagī-e-ġham ke sabab āñkhoñ ke sahrā
namnāk to ho jaate haiñ jal-thal nahīñ hote",ahmad-faraz
"kaise hī talātum hoñ magar qulzum-e-jāñ meñ
kuchh yād-jazīre haiñ ki ojhal nahīñ hote",ahmad-faraz
"ushshāq ke mānind ka.ī ahl-e-havas bhī
pāgal to nazar aate haiñ pāgal nahīñ hote",ahmad-faraz
"sab ḳhvāhisheñ puurī hoñ 'farāz' aisā nahīñ hai
jaise ka.ī ash.ār mukammal nahīñ hote",ahmad-faraz
"aise chup haiñ ki ye manzil bhī kaḌī ho jaise
terā milnā bhī judā.ī kī ghaḌī ho jaise",ahmad-faraz
"apne hī saa.e se har gaam laraz jaatā huuñ
rāste meñ koī dīvār khaḌī ho jaise",ahmad-faraz
"kitne nādāñ haiñ tire bhūlne vaale ki tujhe
yaad karne ke liye umr paḌī ho jaise",ahmad-faraz
"tere māthe kī shikan pahle bhī dekhī thī magar
ye girah ab ke mire dil meñ paḌī ho jaise",ahmad-faraz
"manzileñ duur bhī haiñ manzileñ nazdīk bhī haiñ
apne hī paañv meñ zanjīr paḌī ho jaise",ahmad-faraz
"aaj dil khol ke ro.e haiñ to yuuñ ḳhush haiñ 'farāz'
chand lamhoñ kī ye rāhat bhī baḌī ho jaise",ahmad-faraz
"ajab junūn-e-masāfat meñ ghar se niklā thā
ḳhabar nahīñ hai ki sūraj kidhar se niklā thā",ahmad-faraz
"ye kaun phir se unhīñ rāstoñ meñ chhoḌ gayā
abhī abhī to azāb-e-safar se niklā thā",ahmad-faraz
"ye tiir dil meñ magar be-sabab nahīñ utrā
koī to harf lab-e-chāragar se niklā thā",ahmad-faraz
"ye ab jo aag banā shahr shahr phailā hai
yahī dhuāñ mire dīvār-o-dar se niklā thā",ahmad-faraz
"maiñ raat TuuT ke royā to chain se soyā
ki dil kā zahr mirī chashm-e-tar se niklā thā",ahmad-faraz
"ye ab jo sar haiñ ḳhamīda kulāh kī ḳhātir
ye aib bhī to ham ahl-e-hunar se niklā thā",ahmad-faraz
"vo qais ab jise majnūñ pukārte haiñ 'farāz'
tirī tarah koī dīvāna ghar se niklā thā",ahmad-faraz
"avval avval kī dostī hai abhī
ik ġhazal hai ki ho rahī hai abhī",ahmad-faraz
"maiñ bhī shahr-e-vafā meñ nau-vārid
vo bhī ruk ruk ke chal rahī hai abhī",ahmad-faraz
"maiñ bhī aisā kahāñ kā zūd-shanās
vo bhī lagtā hai sochtī hai abhī",ahmad-faraz
"dil kī vāraftagī hai apnī jagah
phir bhī kuchh ehtiyāt sī hai abhī",ahmad-faraz
"garche pahlā sā ijtināb nahīñ
phir bhī kam kam supurdagī hai abhī",ahmad-faraz
"kaisā mausam hai kuchh nahīñ khultā
būñdā-bāndī bhī dhuup bhī hai abhī",ahmad-faraz
"ḳhud-kalāmī meñ kab ye nashsha thā
jis tarah rū-ba-rū koī hai abhī",ahmad-faraz
"qurbateñ laakh ḳhūb-sūrat hoñ
dūriyoñ meñ bhī dilkashī hai abhī",ahmad-faraz
"fasl-e-gul meñ bahār pahlā gulāb
kis kī zulfoñ meñ Tāñktī hai abhī",ahmad-faraz
"muddateñ ho ga.iiñ 'farāz' magar
vo jo dīvāngī ki thī hai abhī",ahmad-faraz
"dost ban kar bhī nahīñ saath nibhāne vaalā
vahī andāz hai zālim kā zamāne vaalā",ahmad-faraz
"ab use log samajhte haiñ giraftār mirā
saḳht nādim hai mujhe daam meñ laane vaalā",ahmad-faraz
"sub.h-dam chhoḌ gayā nik.hat-e-gul kī sūrat
raat ko ġhuncha-e-dil meñ simaT aane vaalā",ahmad-faraz
"kyā kaheñ kitne marāsim the hamāre us se
vo jo ik shaḳhs hai muñh pher ke jaane vaalā",ahmad-faraz
"tere hote hue aa jaatī thī saarī duniyā
aaj tanhā huuñ to koī nahīñ aane vaalā",ahmad-faraz
"muntazir kis kā huuñ TuuTī huī dahlīz pe maiñ
kaun aa.egā yahāñ kaun hai aane vaalā",ahmad-faraz
"kyā ḳhabar thī jo mirī jaañ meñ ghulā hai itnā
hai vahī mujh ko sar-e-dār bhī laane vaalā",ahmad-faraz
"maiñ ne dekhā hai bahāroñ meñ chaman ko jalte
hai koī ḳhvāb kī tābīr batāne vaalā",ahmad-faraz
"tum takalluf ko bhī iḳhlās samajhte ho 'farāz'
dost hotā nahīñ har haath milāne vaalā",ahmad-faraz
"dukh fasāna nahīñ ki tujh se kaheñ
dil bhī maanā nahīñ ki tujh se kaheñ",ahmad-faraz
"aaj tak apnī bekalī kā sabab
ḳhud bhī jaanā nahīñ ki tujh se kaheñ",ahmad-faraz
"be-tarah hāl-e-dil hai aur tujh se
dostāna nahīñ ki tujh se kaheñ",ahmad-faraz
"ek tū harf-e-āshnā thā magar
ab zamāna nahīñ ki tujh se kaheñ",ahmad-faraz
"qāsidā ham faqīr logoñ kā
ik Thikāna nahīñ ki tujh se kaheñ",ahmad-faraz
"ai ḳhudā dard-e-dil hai baḳhshish-e-dost
āb-o-dāna nahīñ ki tujh se kaheñ",ahmad-faraz
"ab to apnā bhī us galī meñ 'farāz'
aanā jaanā nahīñ ki tujh se kaheñ",ahmad-faraz
"guftugū achchhī lagī zauq-e-nazar achchhā lagā
muddatoñ ke baad koī ham-safar achchhā lagā",ahmad-faraz
"dil kā dukh jaanā to dil kā mas.ala hai par hameñ
us kā hañs denā hamāre haal par achchhā lagā",ahmad-faraz
"har tarah kī be-sar-o-sāmāniyoñ ke bāvajūd
aaj vo aayā to mujh ko apnā ghar achchhā lagā",ahmad-faraz
"bāġhbāñ gulchīñ ko chāhe jo kahe ham ko to phuul
shāḳh se baḌh kar kaf-e-dildār par achchhā lagā",ahmad-faraz
"koī maqtal meñ na pahuñchā kaun zālim thā jise
teġh-e-qātil se ziyāda apnā sar achchhā lagā",ahmad-faraz
"ham bhī qaa.el haiñ vafā meñ ustuvārī ke magar
koī pūchhe kaun kis ko umr bhar achchhā lagā",ahmad-faraz
"apnī apnī chāhateñ haiñ log ab jo bhī kaheñ
ik parī-paikar ko ik āshufta-sar achchhā lagā",ahmad-faraz
"'mīr' ke mānind aksar ziist kartā thā 'farāz'
thā to vo dīvāna sā shā.ir magar achchhā lagā",ahmad-faraz
"har koī dil kī hathelī pe hai sahrā rakkhe
kis ko sairāb kare vo kise pyāsā rakkhe",ahmad-faraz
"umr bhar kaun nibhātā hai ta.alluq itnā
ai mirī jaan ke dushman tujhe allāh rakkhe",ahmad-faraz
"ham ko achchhā nahīñ lagtā koī hamnām tirā
koī tujh sā ho to phir naam bhī tujh sā rakkhe",ahmad-faraz
"dil bhī pāgal hai ki us shaḳhs se vābasta hai
jo kisī aur kā hone de na apnā rakkhe",ahmad-faraz
"kam nahīñ tama-e-ibādat bhī to hirs-e-zar se
faqr to vo hai ki jo diin na duniyā rakkhe",ahmad-faraz
"hañs na itnā bhī faqīroñ ke akele-pan par
jā ḳhudā merī tarah tujh ko bhī tanhā rakkhe",ahmad-faraz
"ye qanā.at hai itā.at hai ki chāhat hai 'farāz'
ham to raazī haiñ vo jis haal meñ jaisā rakkhe",ahmad-faraz
"havā ke zor se pindār-e-bām-o-dar bhī gayā
charāġh ko jo bachāte the un kā ghar bhī gayā",ahmad-faraz
"pukārte rahe mahfūz kashtiyoñ vaale
maiñ Dūbtā huā dariyā ke paar utar bhī gayā",ahmad-faraz
"ab ehtiyāt kī dīvār kyā uThāte ho
jo chor dil meñ chhupā thā vo kaam kar bhī gayā",ahmad-faraz
"maiñ chup rahā ki isī meñ thī āfiyat jaañ kī
koī to merī tarah thā jo daar par bhī gayā",ahmad-faraz
"sulagte sochte vīrān mausamoñ kī tarah
kaḌā thā ahd-e-javānī magar guzar bhī gayā",ahmad-faraz
"jise bhulā na sakā us ko yaad kyā rakhtā
jo naam lab pe rahā zehn se utar bhī gayā",ahmad-faraz
"phaTī phaTī huī āñkhoñ se yuuñ na dekh mujhe
tujhe talāsh hai jis shaḳhs kī vo mar bhī gayā",ahmad-faraz
"magar falak ko adāvat usī ke ghar se thī
jahāñ 'farāz' na thā sail-e-ġham udhar bhī gayā",ahmad-faraz
"huī hai shaam to āñkhoñ meñ bas gayā phir tū
kahāñ gayā hai mire shahr ke musāfir tū",ahmad-faraz
"mirī misāl ki ik naḳhl-e-ḳhushk-e-sahrā huuñ
tirā ḳhayāl ki shāḳh-e-chaman kā taa.ir tū",ahmad-faraz
"maiñ jāntā huuñ ki duniyā tujhe badal degī
maiñ māntā huuñ ki aisā nahīñ ba-zāhir tū",ahmad-faraz
"hañsī-ḳhushī se bichhaḌ jā agar bichhaḌnā hai
ye har maqām pe kyā sochtā hai āḳhir tū",ahmad-faraz
"fazā udaas hai rut muzmahil hai maiñ chup huuñ
jo ho sake to chalā aa kisī kī ḳhātir tū",ahmad-faraz
"'farāz' tū ne use mushkiloñ meñ Daal diyā
zamāna sāhab-e-zar aur sirf shā.er tū",ahmad-faraz
"is qadar musalsal thiiñ shiddateñ judā.ī kī
aaj pahlī baar us se maiñ ne bevafā.ī kī",ahmad-faraz
"varna ab talak yuuñ thā ḳhvāhishoñ kī bārish meñ
yā to TuuT kar royā yā ġhazal-sarā.ī kī",ahmad-faraz
"taj diyā thā kal jin ko ham ne terī chāhat meñ
aaj un se majbūran taaza āshnā.ī kī",ahmad-faraz
"ho chalā thā jab mujh ko iḳhtilāf apne se
tū ne kis ghaḌī zālim merī ham-navā.ī kī",ahmad-faraz
"tark kar chuke qāsid kū-e-nā-murādāñ ko
kaun ab ḳhabar laave shahr-e-āshnā.ī kī",ahmad-faraz
"tanz o ta.ana o tohmat sab hunar haiñ nāseh ke
aap se koī pūchhe ham ne kyā burā.ī kī",ahmad-faraz
"phir qafas meñ shor uTThā qaidiyoñ kā aur sayyād
dekhnā uḌā degā phir ḳhabar rihā.ī kī",ahmad-faraz
"dukh huā jab us dar par kal 'farāz' ko dekhā
laakh aib the us meñ ḳhū na thī gadā.ī kī",ahmad-faraz
"is se pahle ki be-vafā ho jaa.eñ
kyuuñ na ai dost ham judā ho jaa.eñ",ahmad-faraz
"tū bhī hiire se ban gayā patthar
ham bhī kal jaane kyā se kyā ho jaa.eñ",ahmad-faraz
"tū ki yaktā thā be-shumār huā
ham bhī TūTeñ to jā-ba-jā ho jaa.eñ",ahmad-faraz
"ham bhī majbūriyoñ kā uzr kareñ
phir kahīñ aur mubtalā ho jaa.eñ",ahmad-faraz
"ham agar manzileñ na ban paa.e
manziloñ tak kā rāstā ho jaa.eñ",ahmad-faraz
"der se soch meñ haiñ parvāne
raakh ho jaa.eñ yā havā ho jaa.eñ",ahmad-faraz
"ishq bhī khel hai nasīboñ kā
ḳhaak ho jaa.eñ kīmiyā ho jaa.eñ",ahmad-faraz
"ab ke gar tū mile to ham tujh se
aise lipTeñ tirī qabā ho jaa.eñ",ahmad-faraz
"bandagī ham ne chhoḌ dī hai 'farāz'
kyā kareñ log jab ḳhudā ho jaa.eñ",ahmad-faraz
"jab bhī dil khol ke ro.e hoñge
log ārām se so.e hoñge",ahmad-faraz
"ba.az auqāt ba-majbūrī-e-dil
ham to kyā aap bhī ro.e hoñge",ahmad-faraz
"sub.h tak dast-e-sabā ne kyā kyā
phuul kāñToñ meñ piro.e hoñge",ahmad-faraz
"vo safīne jinheñ tūfāñ na mile
nā-ḳhudāoñ ne Dubo.e hoñge",ahmad-faraz
"raat bhar hañste hue tāroñ ne
un ke aariz bhī bhigo.e hoñge",ahmad-faraz
"kyā ajab hai vo mile bhī hoñ 'farāz'
ham kisī dhyān meñ kho.e hoñge",ahmad-faraz
"jis samt bhī dekhūñ nazar aatā hai ki tum ho
ai jān-e-jahāñ ye koī tum sā hai ki tum ho",ahmad-faraz
"ye ḳhvāb hai ḳhushbū hai ki jhoñkā hai ki pal hai
ye dhund hai bādal hai ki saayā hai ki tum ho",ahmad-faraz
"is diid kī saa.at meñ ka.ī rañg haiñ larzāñ
maiñ huuñ ki koī aur hai duniyā hai ki tum ho",ahmad-faraz
"dekho ye kisī aur kī āñkheñ haiñ ki merī
dekhūñ ye kisī aur kā chehra hai ki tum ho",ahmad-faraz
"ye umr-e-gurezāñ kahīñ Thahre to ye jānūñ
har saañs meñ mujh ko yahī lagtā hai ki tum ho",ahmad-faraz
"har bazm meñ mauzū-e-suḳhan dil-zadagāñ kā
ab kaun hai shīrīñ hai ki lailā hai ki tum ho",ahmad-faraz
"ik dard kā phailā huā sahrā hai ki maiñ huuñ
ik mauj meñ aayā huā dariyā hai ki tum ho",ahmad-faraz
"vo vaqt na aa.e ki dil-e-zār bhī soche
is shahr meñ tanhā koī ham sā hai ki tum ho",ahmad-faraz
"ābād ham āshufta-saroñ se nahīñ maqtal
ye rasm abhī shahr meñ zinda hai ki tum ho",ahmad-faraz
"ai jān-e-'farāz' itnī bhī taufīq kise thī
ham ko ġham-e-hastī bhī gavārā hai ki tum ho",ahmad-faraz
"jo ġhair the vo isī baat par hamāre hue
ki ham se dost bahut be-ḳhabar hamāre hue",ahmad-faraz
"kise ḳhabar vo mohabbat thī yā raqābat thī
bahut se log tujhe dekh kar hamāre hue",ahmad-faraz
"ab ik hujūm-e-shikasta-dilāñ hai saath apne
jinheñ koī na milā ham-safar hamāre hue",ahmad-faraz
"kisī ne ġham to kisī ne mizāj-e-ġham baḳhshā
sab apnī apnī jagah chāragar hamāre hue",ahmad-faraz
"bujhā ke taaq kī sham.eñ na dekh tāroñ ko
isī junūñ meñ to barbād ghar hamāre hue",ahmad-faraz
"vo e'timād kahāñ se 'farāz' lā.eñge
kisī ko chhoḌ ke vo ab agar hamāre hue",ahmad-faraz
"juz tire koī bhī din raat na jaane mere
tū kahāñ hai magar ai dost purāne mere",ahmad-faraz
"tū bhī ḳhushbū hai magar merā tajassus bekār
barg-e-āvāra kī mānind Thikāne mere",ahmad-faraz
"sham.a kī lau thī ki vo tū thā magar hijr kī raat
der tak rotā rahā koī sirhāne mere",ahmad-faraz
"ḳhalq kī be-ḳhabarī hai ki mirī rusvā.ī
log mujh ko hī sunāte haiñ fasāne mere",ahmad-faraz
"luT ke bhī ḳhush huuñ ki ashkoñ se bharā hai dāman
dekh ġhārat-gar-e-dil ye bhī ḳhazāne mere",ahmad-faraz
"aaj ik aur baras biit gayā us ke baġhair
jis ke hote hue hote the zamāne mere",ahmad-faraz
"kaash tū bhī merī āvāz kahīñ suntā ho
phir pukārā hai tujhe dil kī sadā ne mere",ahmad-faraz
"kaash tū bhī kabhī aa jaa.e masīhā.ī ko
log aate haiñ bahut dil ko dukhāne mere",ahmad-faraz
"kaash auroñ kī tarah maiñ bhī kabhī kah saktā
baat sun lī hai mirī aaj ḳhudā ne mere",ahmad-faraz
"tū hai kis haal meñ ai zūd-farāmosh mire
mujh ko to chhīn liyā ahd-e-vafā ne mere",ahmad-faraz
"chārāgar yuuñ to bahut haiñ magar ai jān-e-'farāz'
juz tire aur koī zaḳhm na jaane mere",ahmad-faraz
"karūñ na yaad magar kis tarah bhulā.ūñ use
ġhazal bahāna karūñ aur gungunā.ūñ use",ahmad-faraz
"vo ḳhaar ḳhaar hai shāḳh-e-gulāb kī mānind
maiñ zaḳhm zaḳhm huuñ phir bhī gale lagā.ūñ use",ahmad-faraz
"ye log tazkire karte haiñ apne logoñ ke
maiñ kaise baat karūñ ab kahāñ se lā.ūñ use",ahmad-faraz
"magar vo zūd-farāmosh zūd-ranj bhī hai
ki ruuTh jaa.e agar yaad kuchh dilā.ūñ use",ahmad-faraz
"vahī jo daulat-e-dil hai vahī jo rāhat-e-jāñ
tumhārī baat pe ai nāseho gañvā.ūñ use",ahmad-faraz
"jo ham-safar sar-e-manzil bichhaḌ rahā hai 'farāz'
ajab nahīñ hai agar yaad bhī na aa.uuñ use",ahmad-faraz
"kaThin hai rāhguzar thoḌī duur saath chalo
bahut kaḌā hai safar thoḌī duur saath chalo",ahmad-faraz
"tamām umr kahāñ koī saath detā hai
ye jāntā huuñ magar thoḌī duur saath chalo",ahmad-faraz
"nashe meñ chuur huuñ maiñ bhī tumheñ bhī hosh nahīñ
baḌā maza ho agar thoḌī duur saath chalo",ahmad-faraz
"ye ek shab kī mulāqāt bhī ġhanīmat hai
kise hai kal kī ḳhabar thoḌī duur saath chalo",ahmad-faraz
"abhī to jaag rahe haiñ charāġh rāhoñ ke
abhī hai duur sahar thoḌī duur saath chalo",ahmad-faraz
"tavāf-e-manzil-e-jānāñ hameñ bhī karnā hai
'farāz' tum bhī agar thoḌī duur saath chalo",ahmad-faraz
"ḳhāmosh ho kyuuñ dād-e-jafā kyuuñ nahīñ dete
bismil ho to qātil ko duā kyuuñ nahīñ dete",ahmad-faraz
"vahshat kā sabab rauzan-e-zindāñ to nahīñ hai
mehr o mah o anjum ko bujhā kyuuñ nahīñ dete",ahmad-faraz
"ik ye bhī to andāz-e-ilāj-e-ġham-e-jāñ hai
ai chāragaro dard baḌhā kyuuñ nahīñ dete",ahmad-faraz
"munsif ho agar tum to kab insāf karoge
mujrim haiñ agar ham to sazā kyuuñ nahīñ dete",ahmad-faraz
"rahzan ho to hāzir hai matā-e-dil-o-jāñ bhī
rahbar ho to manzil kā pata kyuuñ nahīñ dete",ahmad-faraz
"kyā biit ga.ī ab ke 'farāz' ahl-e-chaman par
yārān-e-qafas mujh ko sadā kyuuñ nahīñ dete",ahmad-faraz
"kyā aise kam-suḳhan se koī guftugū kare
jo mustaqil sukūt se dil ko lahū kare",ahmad-faraz
"ab to hameñ bhī tark-e-marāsim kā dukh nahīñ
par dil ye chāhtā hai ki āġhāz tū kare",ahmad-faraz
"tere baġhair bhī to ġhanīmat hai zindagī
ḳhud ko gañvā ke kaun tirī justujū kare",ahmad-faraz
"ab to ye aarzū hai ki vo zaḳhm khā.iye
tā-zindagī ye dil na koī aarzū kare",ahmad-faraz
"tujh ko bhulā ke dil hai vo sharminda-e-nazar
ab koī hādsa hī tire rū-ba-rū kare",ahmad-faraz
"chup-chāp apnī aag meñ jalte raho 'farāz'
duniyā to arz-e-hāl se be-ābrū kare",ahmad-faraz
"maiñ to maqtal meñ bhī qismat kā sikandar niklā
qur.a-e-fāl mire naam kā aksar niklā",ahmad-faraz
"thā jinheñ zo.am vo dariyā bhī mujhī meñ Duube
maiñ ki sahrā nazar aatā thā samundar niklā",ahmad-faraz
"maiñ ne us jān-e-bahārāñ ko bahut yaad kiyā
jab koī phuul mirī shāḳh-e-hunar par niklā",ahmad-faraz
"shahr-vāloñ kī mohabbat kā maiñ qaa.el huuñ magar
maiñ ne jis haath ko chūmā vahī ḳhanjar niklā",ahmad-faraz
